BookID;Code;ProductName;Unit;Price;Supplier;Producer;Category;CurrentDiscount;QuantityInStock;Description;Photo
1;B001;Ночной дозор;экз.;650;КнигиОпт;АСТ;Фэнтези;10;15;Городское фэнтези о противостоянии Света и Тьмы.;1.jpg
2;B002;Дневной дозор;экз.;670;КнигиОпт;АСТ;Фэнтези;15;8;Продолжение истории Дозоров в современном городе.;2.jpg
3;B003;Гарри Поттер и философский камень;экз.;550;ЛитераТрейд;Эксмо;Фэнтези;20;5;Первая книга о юном волшебнике Гарри Поттере.;3.jpg
4;B004;Гарри Поттер и Тайная комната;экз.;560;ЛитераТрейд;Эксмо;Фэнтези;0;3;Продолжение приключений Гарри Поттера в школе магии.;4.jpg
5;B005;Преступление и наказание;экз.;480;КлассикаСнаб;Эксмо;Классическая литература;5;2;Роман о преступлении совести и раскаянии.;5.jpg
6;B006;Оно;экз.;900;ЛитераТрейд;Эксмо;Ужасы;25;0;Хоррор-роман о древнем зле в провинциальном городке.;6.jpg
7;B007;Метро 2033;экз.;520;КнигиОпт;АСТ;Фантастика;0;12;Постапокалиптический роман о жизни в московском метро.;7.jpg
8;B008;Generation "П";экз.;430;КнигиОпт;АСТ;Деловая литература;30;7;Сатирический роман о рекламе и постсоветской реальности.;8.jpg
9;B009;Евгений Онегин;экз.;350;КлассикаСнаб;Просвещение;Классическая литература;0;4;Роман в стихах о дворянине Евгении Онегине.;9.jpg
10;B010;Рассказы о природе;экз.;300;КлассикаСнаб;Просвещение;Детская литература;10;6;Сборник рассказов о природе и человеке.;10.jpg